Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
5/8/2013,459.04,465.37,455.81,463.84,16878500,0,1,58.76652208,59.57689173,58.35301592,59.38102039,118149500
5/7/2013,464.97,465.75,453.7,458.658,17276900,0,1,59.52568353,59.62553951,58.0828927,58.71761825,120938300
5/6/2013,455.71,462.2,454.31,460.71,17737200,0,1,58.34021387,59.1710668,58.1609852,58.98031628,124160400
5/3/2013,451.31,453.23,449.15,449.98,12903600,0,1,57.77692375,58.02272308,57.50039951,57.60665651,90325200
5/2/2013,441.78,448.59,440.63,445.52,15065300,0,1,56.55688856,57.42870804,56.409665,57.03568516,105457100
5/1/2013,444.46,444.93,434.39,439.29,18103900,0,1,56.89998345,56.96015307,55.61081719,56.23811756,126727300
4/30/2013,435.1,445.25,432.07,442.78,24697800,0,1,55.70171174,57.00111963,55.31380968,56.68490904,172884600
4/29/2013,420.45,433.617,420,430.12,22868800,0,1,53.82621167,55.51185736,53.76860246,55.06416974,160081600
4/26/2013,409.81,418.769,408.25,417.205,27289200,0,1,52.46407375,53.61100924,52.26436179,53.41078521,191024400
4/25/2013,411.225,413.94,407,408.38,13744200,0,1,52.64522273,52.99279834,52.10433619,52.28100446,96209400
4/24/2013,393.54,415.25,392.5,405.462,34630400,0,1,50.3811805,53.16050517,50.2480392,51.90744069,242412800
4/23/2013,403.99,408.381,398.81,406.13,23722800,0,1,51.71899454,52.28113248,51.05584844,51.99295837,166059600
4/22/2013,392.64,402.2,391.275,398.67,15354300,0,1,50.26596207,51.48983788,50.09121411,51.03792558,107480100
4/19/2013,387.97,399.6,385.1,390.53,21759800,0,1,49.66810642,51.15698462,49.30068763,49.99583885,152318600
4/18/2013,404.99,405.79,389.742,392.05,23796400,0,1,51.84701502,51.94943141,49.89495871,50.19042998,166574800
4/17/2013,420.27,420.6,398.11,402.8,33752000,0,1,53.80316799,53.84541475,50.96623411,51.56665017,236264000
4/16/2013,421.57,426.61,420.57,426.24,10920400,0,1,53.96959461,54.61481784,53.84157413,54.56745027,76442800
4/15/2013,427,427.89,419.55,419.85,11340000,0,1,54.66474583,54.77868406,53.71099324,53.74939939,79380000
4/12/2013,434.15,434.15,429.09,429.8,8521900,0,1,55.58009228,55.58009228,54.93230864,55.02320318,59653300
4/11/2013,433.72,437.99,431.2,434.33,11727300,0,1,55.52504347,56.07169093,55.20243186,55.60313597,82091100
4/10/2013,428.1,437.06,426.01,435.69,13426000,0,1,54.80556836,55.95263188,54.53800555,55.77724382,93982000
4/9/2013,426.36,428.5,422.75,426.98,10950500,0,1,54.58281272,54.85677655,54.12065878,54.66218542,76653500
4/8/2013,424.85,427.5,422.49,426.21,10743900,0,1,54.3895018,54.72875607,54.08737346,54.56360965,75207300
4/5/2013,424.5,424.95,419.68,423.2,13703400,0,1,54.34469463,54.40230384,53.7276359,54.178268,95923800
4/4/2013,433.76,435,425.25,427.72,12801700,0,1,55.53016429,55.68890969,54.44070999,54.75692058,89611900
4/3/2013,431.37,437.28,430.31,431.99,12972000,0,1,55.22419534,55.98079639,55.08849363,55.30356804,90804000
4/2/2013,427.6,438.14,426.4,429.792,18911400,0,1,54.74155812,56.090894,54.58793354,55.02217902,132379800
4/1/2013,441.9,443.698,427.74,428.91,13919000,0,1,56.57225101,56.80243184,54.75948099,54.90926495,97433000
3/28/2013,449.82,451.819,441.62,442.66,15815700,0,1,57.58617323,57.84208618,56.53640528,56.66954658,110709900
3/27/2013,456.46,456.8,450.7301,452.08,11829900,0,1,58.43622923,58.4797562,57.70268467,57.87549952,82809300
3/26/2013,465.44,465.8399,460.53,461.136,10510500,0,1,59.58585316,59.63704855,58.95727259,59.03485301,73573500
3/25/2013,464.69,469.95,461.78,463.58,17897700,0,1,59.4898378,60.16322554,59.1172982,59.34773506,125283900
3/22/2013,454.58,462.1,453.11,461.91,14110900,0,1,58.19555073,59.15826475,58.00736062,59.13394086,98776300
3/21/2013,450.22,457.98,450.1,452.73,13687700,0,1,57.63738142,58.63082037,57.62201897,57.95871283,95813900
3/20/2013,457.42,457.63,449.59,452.08,11023600,0,1,58.5591289,58.5860132,57.55672852,57.87549952,77165200
3/19/2013,459.5,460.97,448.5,454.49,18813400,0,1,58.8254115,59.01360161,57.4171862,58.18402888,131693800
3/18/2013,441.45,457.46,441.2,455.72,21649900,0,1,56.5146418,58.56424971,56.48263668,58.34149408,151549300
3/15/2013,437.93,444.23,437.25,443.66,22998600,0,1,56.0640097,56.87053874,55.97695577,56.79756706,160990200
3/14/2013,432.83,434.64,430.45,432.5,10852700,0,1,55.41110524,55.64282231,55.10641649,55.36885848,75968900
3/13/2013,428.45,434.5,425.36,428.35,14483900,0,1,54.85037553,55.62489945,54.45479224,54.83757348,101387300
3/12/2013,435.6,438.88,427.57,428.43,16639700,0,1,55.76572198,56.18562916,54.73771751,54.84781512,116477900
3/11/2013,429.7499,439.01,425.14,437.87,16937000,0,1,55.01678936,56.20227182,54.42662774,56.05632847,118559000
3/8/2013,429.8,435.43,428.61,431.72,13981500,0,1,55.02320318,55.7439585,54.87085881,55.26900251,97870500
3/7/2013,424.5,432.01,421.06,430.582,16731200,0,1,54.34469463,55.30612845,53.90430417,55.1233152,117118400
3/6/2013,434.51,435.25,424.43,425.662,16437500,0,1,55.62617965,55.72091481,54.33573319,54.49345443,115062500
3/5/2013,421.48,435.19,420.75,431.144,22801200,0,1,53.95807277,55.71323358,53.86461782,55.19526271,159608400
3/4/2013,427.8,428.1999,419,420.05,20812700,0,1,54.76716222,54.81835761,53.64058198,53.77500348,145688900
3/1/2013,438,438.1799,429.98,430.47,19730300,0,1,56.07297113,56.09600202,55.04624687,55.1089769,138112100
2/28/2013,444.05,447.87,441.4,441.4,11518400,0,1,56.84749505,57.33653329,56.50824077,56.50824077,80628800
2/27/2013,448.43,452.44,440.65,444.57,20976800,0,1,57.40822476,57.92158689,56.41222541,56.9140657,146837600
